[data] 412223 positions  [0s]
    class BKPkn   : spearman +0.457 MAE 16.51 (n=316)
    class BKPkp   : spearman +0.442 MAE 18.51 (n=309)
    class BKPkq   : spearman +0.527 MAE 16.47 (n=305)
    class BKPkr   : spearman +0.418 MAE 15.53 (n=301)
    class BKQQk   : spearman +0.500 MAE 5.97 (n=295)
    class BKQRk   : spearman +0.475 MAE 7.24 (n=310)
    class BKQbk   : spearman +0.331 MAE 12.61 (n=289)
    class BKQk    : spearman +0.569 MAE 4.69 (n=323)
    class BKQkn   : spearman +0.389 MAE 13.66 (n=277)
    class BKQkp   : spearman +0.389 MAE 13.02 (n=293)
    class BKQkq   : spearman +0.356 MAE 6.16 (n=277)
    class BKQkr   : spearman +0.286 MAE 16.56 (n=319)
    class BKRRk   : spearman +0.538 MAE 7.47 (n=297)
    class BKRbk   : spearman +0.448 MAE 8.24 (n=281)
    class BKRk    : spearman +0.602 MAE 4.77 (n=273)
    class BKRkn   : spearman +0.270 MAE 13.13 (n=308)
    class BKRkp   : spearman +0.429 MAE 21.91 (n=270)
    class BKRkq   : spearman +0.500 MAE 5.43 (n=282)
    class BKRkr   : spearman +0.459 MAE 5.79 (n=307)
    class KNNNk   : spearman +0.727 MAE 3.11 (n=300)
    class KNNPk   : spearman +0.551 MAE 16.87 (n=302)
    class KNNQk   : spearman +0.436 MAE 5.51 (n=288)
    class KNNRk   : spearman +0.490 MAE 8.61 (n=299)
    class KNNkp   : spearman +0.406 MAE 22.94 (n=298)
    class KNPPk   : spearman +0.390 MAE 15.37 (n=321)
    class KNPQk   : spearman +0.272 MAE 16.81 (n=290)
    class KNPRk   : spearman +0.430 MAE 14.81 (n=291)
    class KNPbk   : spearman +0.424 MAE 15.10 (n=297)
    class KNPk    : spearman +0.620 MAE 11.80 (n=292)
    class KNPkn   : spearman +0.416 MAE 18.00 (n=284)
    class KNPkp   : spearman +0.367 MAE 18.32 (n=293)
    class KNPkq   : spearman +0.597 MAE 13.26 (n=297)
    class KNPkr   : spearman +0.326 MAE 17.02 (n=291)
    class KNQQk   : spearman +0.448 MAE 5.60 (n=301)
    class KNQRk   : spearman +0.360 MAE 8.49 (n=324)
    class KNQbk   : spearman +0.340 MAE 14.62 (n=295)
    class KNQk    : spearman +0.496 MAE 3.99 (n=318)
    class KNQkn   : spearman +0.409 MAE 15.18 (n=296)
    class KNQkp   : spearman +0.410 MAE 17.81 (n=334)
    class KNQkq   : spearman +0.495 MAE 5.14 (n=311)
    class KNQkr   : spearman +0.308 MAE 17.60 (n=282)
    class KNRRk   : spearman +0.489 MAE 9.56 (n=299)
    class KNRbk   : spearman +0.512 MAE 7.93 (n=313)
    class KNRk    : spearman +0.496 MAE 6.48 (n=286)
    class KNRkn   : spearman +0.326 MAE 12.11 (n=310)
    class KNRkp   : spearman +0.488 MAE 20.06 (n=316)
    class KNRkq   : spearman +0.454 MAE 6.25 (n=313)
    class KNRkr   : spearman +0.390 MAE 6.76 (n=288)
    class KPPPk   : spearman +0.566 MAE 13.37 (n=314)
    class KPPQk   : spearman +0.454 MAE 12.71 (n=292)
    class KPPRk   : spearman +0.470 MAE 12.32 (n=296)
    class KPPbk   : spearman +0.490 MAE 11.96 (n=292)
    class KPPk    : spearman +0.559 MAE 9.70 (n=277)
    class KPPkn   : spearman +0.455 MAE 12.29 (n=308)
    class KPPkp   : spearman +0.283 MAE 14.74 (n=286)
    class KPPkq   : spearman +0.475 MAE 11.36 (n=268)
    class KPPkr   : spearman +0.339 MAE 14.25 (n=337)
    class KPQQk   : spearman +0.432 MAE 12.96 (n=295)
    class KPQRk   : spearman +0.410 MAE 15.23 (n=301)
    class KPQbk   : spearman +0.384 MAE 13.62 (n=288)
    class KPQk    : spearman +0.481 MAE 10.61 (n=291)
    class KPQkn   : spearman +0.455 MAE 12.85 (n=304)
    class KPQkp   : spearman +0.443 MAE 15.64 (n=333)
    class KPQkq   : spearman +0.497 MAE 12.45 (n=301)
    class KPQkr   : spearman +0.327 MAE 14.87 (n=300)
    class KPRRk   : spearman +0.522 MAE 14.02 (n=336)
    class KPRbk   : spearman +0.455 MAE 12.78 (n=294)
    class KPRk    : spearman +0.495 MAE 11.69 (n=280)
    class KPRkn   : spearman +0.445 MAE 12.93 (n=310)
    class KPRkp   : spearman +0.343 MAE 16.53 (n=268)
    class KPRkq   : spearman +0.420 MAE 11.07 (n=295)
    class KPRkr   : spearman +0.417 MAE 14.31 (n=272)
    class KPk     : spearman +0.585 MAE 7.52 (n=313)
    class KPkp    : spearman +0.445 MAE 16.42 (n=301)
    class KQQQk   : spearman +0.407 MAE 4.26 (n=295)
    class KQQRk   : spearman +0.395 MAE 8.19 (n=309)
    class KQQbk   : spearman +0.393 MAE 12.18 (n=307)
    class KQQk    : spearman +0.452 MAE 5.03 (n=330)
    class KQQkn   : spearman +0.463 MAE 11.29 (n=292)
    class KQQkp   : spearman +0.329 MAE 12.17 (n=259)
    class KQQkq   : spearman +0.367 MAE 6.29 (n=276)
    class KQQkr   : spearman +0.283 MAE 16.18 (n=287)
    class KQRRk   : spearman +0.452 MAE 9.72 (n=301)
    class KQRbk   : spearman +0.378 MAE 11.23 (n=264)
    class KQRk    : spearman +0.604 MAE 7.17 (n=300)
    class KQRkn   : spearman +0.427 MAE 11.88 (n=318)
    class KQRkp   : spearman +0.457 MAE 17.49 (n=299)
    class KQRkq   : spearman +0.425 MAE 8.54 (n=311)
    class KQRkr   : spearman +0.365 MAE 13.53 (n=311)
    class KQbk    : spearman +0.514 MAE 13.00 (n=335)
    class KQk     : spearman +0.688 MAE 1.84 (n=307)
    class KQkn    : spearman +0.336 MAE 15.94 (n=299)
    class KQkp    : spearman +0.336 MAE 15.89 (n=292)
    class KQkq    : spearman +0.662 MAE 2.11 (n=305)
    class KQkr    : spearman +0.344 MAE 15.22 (n=312)
    class KRRRk   : spearman +0.399 MAE 9.52 (n=295)
    class KRRbk   : spearman +0.425 MAE 10.08 (n=327)
    class KRRbkn  : spearman +0.323 MAE 13.94 (n=292)
    class KRRbkp  : spearman +0.384 MAE 19.41 (n=324)
    class KRRk    : spearman +0.564 MAE 8.31 (n=290)
    class KRRkn   : spearman +0.324 MAE 12.88 (n=294)
    class KRRknp  : spearman +0.356 MAE 19.52 (n=309)
    class KRRkp   : spearman +0.478 MAE 20.76 (n=298)
    class KRRkq   : spearman +0.492 MAE 8.10 (n=298)
    class KRRkr   : spearman +0.390 MAE 9.05 (n=271)
    class KRbk    : spearman +0.594 MAE 4.22 (n=299)
    class KRk     : spearman +0.818 MAE 2.61 (n=280)
    class KRkn    : spearman +0.497 MAE 7.48 (n=306)
    class KRkp    : spearman +0.414 MAE 19.60 (n=309)
    class KRkr    : spearman +0.689 MAE 3.43 (n=288)
saved data/derived/sep/dtm_tok_r2.pt  [1244s]
